Time,Rain,forecast
1942-04-01,180.3,110.77211157828582
1942-05-01,191.9,254.0530202634429
1942-06-01,813.6,698.6721221681818
1942-07-01,828.8,740.8054658064443
1942-08-01,329.3,476.2077286341903
1942-09-01,99.8,237.91240689541803
1942-10-01,374.4,291.7001435639675
1942-11-01,84.7,203.60189212339233
1942-12-01,117.9,53.50348852832245
1943-01-01,83.5,13.26847276803758
1943-02-01,14.6,18.579018055012902
1943-03-01,38.4,32.31722282531122
1943-04-01,107.5,93.09464160181638
1943-05-01,478.4,251.97070047038846
1943-06-01,794.5,729.1532782472348
1943-07-01,831.6,721.6119061478013
1943-08-01,183.3,452.3322312427641
1943-09-01,257.6,220.23543282263245
1943-10-01,427.2,304.7402659344619
1943-11-01,223.4,193.35148385464123
1943-12-01,24.3,55.33809900256308
